area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
25001	9371	96271	4354695003	
25003	5117	61618	2774778803	
25005	17322	223466	10680150249	
25007	1248	8843	436108836	
25009	24494	322726	18075239165	
25011	2417	26730	1085784411	
25013	17800	207091	9920450319	
25015	4834	64054	2879734478	
25017	54009	888073	70723702277	
25019	1084	7293	402389987	
25021	24973	349730	21806070399	
25023	15464	189237	9411812471	
25025	28430	659565	60143446848	
25027	24439	340503	17932474910	
25999	15651	49352	5018817190	
