area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
55001	342	4531	158833727	
55003	597	8055	289199916	
55005	1406	21473	776270566	
55007	502	4039	109357033	
55009	6701	153891	7247850993	
55011	371	3783	134017120	
55013	398	4614	146616032	
55015	782	13933	517794130	
55017	1572	24321	924356201	
55019	840	10894	387111546	
55021	1563	21914	847489814	
55023	444	7456	250749460	
55025	14944	329751	17454061931	
55027	1799	35002	1472841518	
55029	1264	13611	449937372	
55031	1087	15414	595728581	
55033	973	17281	671748521	
55035	2700	57198	2408217838	
55037	147	998	26494266	
55039	2327	46147	1974990080	
55041	294	3127	108384203	
55043	1373	17715	633084207	
55045	1000	15901	599407674	
55047	492	6120	222110227	
55049	640	10084	390127835	
55051	216	1672	49408305	
55053	495	8625	335899355	
55055	2027	32402	1261581129	
55057	623	9271	352901027	
55059	3181	63724	2599523151	
55061	536	7079	259653023	
55063	3028	69030	2899234170	
55065	431	4073	136820072	
55067	601	7418	247508402	
55069	735	10820	452993681	
55071	1842	33439	1393869952	
55073	3431	70342	3034341298	
55075	1176	18468	733127219	
55077	341	3753	124037017	
55078	101	2082	64820056	
55079	25421	484344	24900962428	
55081	1086	20203	783570463	
55083	769	8975	287829585	
55085	1462	16592	635280914	
55087	5163	106965	4848895199	
55089	2791	43107	1909984227	
55091	270	2277	81314202	
55093	880	9990	347031283	
55095	1146	16068	577088107	
55097	1699	33883	1404957915	
55099	486	5700	209772874	
55101	4211	74164	3389872785	
55103	446	5839	199493524	
55105	3293	65042	2790136644	
55107	354	5177	176716446	
55109	2273	33075	1278407536	
55111	1972	36158	1329757909	
55113	660	6754	223833419	
55115	1047	12583	398245601	
55117	2788	59750	2747536827	
55119	495	8089	292580488	
55121	739	14415	552230933	
55123	674	8925	293794770	
55125	954	7609	233921781	
55127	2724	40903	1515418397	
55129	573	5855	189854537	
55131	3271	54355	2331793025	
55133	12725	238806	12675164866	
55135	1314	20135	734192504	
55137	509	6049	191084316	
55139	3682	92843	4614282852	
55141	1945	38090	1659110323	
55999	17869	56002	3572615779	
